"FirmId","PurchaseOrderNumber","VendorNumber","VendorName","WarehouseId","PurchasingAddressCode","OrderDateRaw","OrderDateIso","PromisedDateRaw","PromisedDateIso","NotBeforeDateRaw","NotBeforeDateIso","RequiredDateRaw","RequiredDateIso","LastReceiptDateRaw","LastReceiptDateIso","HoldFlag","PrintStatus","PaymentTermsCode","FreightTerms","ShippingMethod","Acknowledgment","Fob","MessageCode","RequisitionNumber","PurchaseOrderStatus","IsOpen","IsClosed","IsCanceled","VendorResolutionStatus","SourceRecordIdentity"
"01","0043740","000308","MEGGITT SAFETY SYSTEMS","38","","C20509","2022-05-09","","","","","C20607","2022-06-07","C20725","2022-07-25","","","01","","","","","","","ActiveOpenFile","true","false","false","Resolved","303130303033303830303433373430"
"01","0044911","000308","MEGGITT SAFETY SYSTEMS","38","","C40426","2024-04-26","","","","","C40509","2024-05-09","C40708","2024-07-08","","","01","","","","","","","ActiveOpenFile","true","false","false","Resolved","303130303033303830303434393131"
"01","0045210","000308","MEGGITT SAFETY SYSTEMS","38","","C41016","2024-10-16","","","","","C41024","2024-10-24","C41113","2024-11-13","","","01","","UPS","RAY","","","","ActiveOpenFile","true","false","false","Resolved","303130303033303830303435323130"
"01","0027727","000319","KAPCO GLOBAL","72","","B50107","2015-01-07","","","","","B50109","2015-01-09","B50204","2015-02-04","","","01","","UPS","JOSE","","","","ActiveOpenFile","true","false","false","Resolved","303130303033313930303237373237"
"01","0026638","000353","STANDARD ELECTRONICS","12","","B31029","2013-10-29","","","","","B31104","2013-11-04","B31108","2013-11-08","","","01","DLE ACCNT","UPS GRND","MICHAEL FRENCH","","STD","","ActiveOpenFile","true","false","false","Resolved","303130303033353330303236363338"
"01","0026901","000357","QUEST COMPONENTS","93","","B40218","2014-02-18","","","","","B40227","2014-02-27","B40312","2014-03-12","","","01","","UPS","PETER","","","","ActiveOpenFile","true","false","false","Resolved","303130303033353730303236393031"
"01","0027276","000357","QUEST COMPONENTS","02","","B40821","2014-08-21","","","","","B40901","2014-09-01","B51030","2015-10-30","","","01","","UPS","PAUL KACHIRSKY","","","","ActiveOpenFile","true","false","false","Resolved","303130303033353730303237323736"
"01","0027507","000357","QUEST COMPONENTS","12","","B40930","2014-09-30","","","","","B41001","2014-10-01","B41014","2014-10-14","","","01","","UPS","PAUL","","","","ActiveOpenFile","true","false","false","Resolved","303130303033353730303237353037"
"01","0027546","000357","QUEST COMPONENTS","67","","B41016","2014-10-16","","","","","B41021","2014-10-21","B41027","2014-10-27","","","01","","UPS","PAUL K","","","","ActiveOpenFile","true","false","false","Resolved","303130303033353730303237353436"
"01","0027552","000357","QUEST COMPONENTS","02","","B41021","2014-10-21","","","","","B41023","2014-10-23","B41024","2014-10-24","","","01","","UPS","PAUL K","","","","ActiveOpenFile","true","false","false","Resolved","303130303033353730303237353532"
"01","0027574","000357","QUEST COMPONENTS","12","","B41030","2014-10-30","","","","","B41103","2014-11-03","B41105","2014-11-05","","","01","","UPS","PAUL K","","","","ActiveOpenFile","true","false","false","Resolved","303130303033353730303237353734"
"01","0027643","000357","QUEST COMPONENTS","67","","B41117","2014-11-17","","","","","B41120","2014-11-20","B41124","2014-11-24","","","01","","UPS","PAUL","","","","ActiveOpenFile","true","false","false","Resolved","303130303033353730303237363433"
"01","0027700","000357","QUEST COMPONENTS","12","","B41222","2014-12-22","","","","","B41223","2014-12-23","B41223","2014-12-23","","","01","","WILL Call","paul","","","","ActiveOpenFile","true","false","false","Resolved","303130303033353730303237373030"
"01","0027717","000357","QUEST COMPONENTS","12","","B41231","2014-12-31","","","","","B50108","2015-01-08","B50108","2015-01-08","","","01","","UPS","","","","","ActiveOpenFile","true","false","false","Resolved","303130303033353730303237373137"
"01","0027861","000357","QUEST COMPONENTS","12","","B50303","2015-03-03","","","","","B50310","2015-03-10","B50310","2015-03-10","","","01","","","","","","","ActiveOpenFile","true","false","false","Resolved","303130303033353730303237383631"
"01","0028028","000357","QUEST COMPONENTS","93","","B50601","2015-06-01","","","","","B50610","2015-06-10","B50610","2015-06-10","","","01","","","","","","","ActiveOpenFile","true","false","false","Resolved","303130303033353730303238303238"
