Ord Dt	Cust#	Cust Name	P/O	Sls Ord#	Ln#	WorkOrd	WorkOrd Qty	Qty Shp'd	Qty Open	Item#	Description	Ship Dt	Price	Ext Price	MatlCost	LabrCost	TotlCost
07/07/25	001148	HUGHEY & PHILLIPS        	HP00194880	0012006	17	UNKNOWN	          0	          0	          5	277-3261            	ASSY 1 POWER SUPPLY 	11/02/26	    207.09	   1035.45 	     96.03   	     55.60   	    151.63   
03/05/26	001148	HUGHEY & PHILLIPS        	HP00195650	0012064	11	UNKNOWN	          0	          0	         10	277-3939            	PCB ASSEMBLY 	11/02/26	     31.00	    310.00 	      5.27   	      2.83   	      8.10   
05/07/26	001148	HUGHEY & PHILLIPS        	HP00196695	0012082	11	UNKNOWN	          0	          0	         10	B7C24LAA-001        	ALARM BCN-LED 120V 	11/02/26	    132.79	   1327.90 	     76.08   	     18.40   	     94.48   
05/19/26	565650	MEGGITT SAFETY SYSTEMS   	4551292410	0012083	07	UNKNOWN	          0	          0	         50	910781-03           	SMOKE DETECTOR SINGLE, 8930 	11/04/26	    364.80	  18240.00 	     14.39   	     30.00   	     44.39   
10/13/25	001037	MEGGITT (N. HOLLYWOOD), I	4551252615	0012029	06	UNKNOWN	          0	          0	        100	450007              	PCB ASSEMBLY 	11/09/26	     21.31	   2131.00 	      7.41   	      4.00   	     11.41   
07/07/25	001148	HUGHEY & PHILLIPS        	HP00194880	0012006	19	UNKNOWN	          0	          0	          5	277-3261            	ASSY 1 POWER SUPPLY 	12/01/26	    207.09	   1035.45 	     96.03   	     55.60   	    151.63   
11/07/25	001148	HUGHEY & PHILLIPS        	HP00195568	0012040	17	UNKNOWN	          0	          0	         10	B7C14PAA            	MASTER CARD 	12/01/26	    128.84	   1288.40 	     33.68   	     26.00   	     59.68   
03/05/26	001148	HUGHEY & PHILLIPS        	HP00195650	0012064	13	UNKNOWN	          0	          0	         10	277-3939            	PCB ASSEMBLY 	12/01/26	     31.00	    310.00 	      5.27   	      2.83   	      8.10   
05/19/26	565650	MEGGITT SAFETY SYSTEMS   	4551292410	0012083	09	UNKNOWN	          0	          0	         44	910781-03           	SMOKE DETECTOR SINGLE, 8930 	12/09/26	    364.80	  16051.20 	     14.39   	     30.00   	     44.39   
04/13/26	001148	HUGHEY & PHILLIPS        	HP00196437	0012075	09	UNKNOWN	          0	          0	          5	B7C11PAA            	MASTER CARD 	12/14/26	    131.57	    657.85 	     35.16   	     26.66   	     61.82   
06/04/25	001037	MEGGITT (N. HOLLYWOOD), I	4551226777	0011998	06	UNKNOWN	          0	          0	         44	159617              	PRINTED CIRCUIT ASSEMBLY OP20 	12/21/26	    495.75	  21813.00 	    175.42   	     40.00   	    215.42   
09/27/23	565650	MEGGITT SAFETY SYSTEMS   	4551097248	0011802	29	UNKNOWN	          0	          0	         75	910781-01           	PCBA SMOKE DET MICRO602 (DUAL) 	12/31/26	    402.80	  30210.00 	     28.75   	     30.00   	     58.75   
10/13/25	001037	MEGGITT (N. HOLLYWOOD), I	4551252615	0012029	07	UNKNOWN	          0	          0	        100	450007              	PCB ASSEMBLY 	01/04/27	     21.31	   2131.00 	      7.41   	      4.00   	     11.41   
11/07/25	001148	HUGHEY & PHILLIPS        	HP00195568	0012040	19	UNKNOWN	          0	          0	         10	B7C14PAA            	MASTER CARD 	01/04/27	    128.84	   1288.40 	     33.68   	     26.00   	     59.68   
05/07/26	001148	HUGHEY & PHILLIPS        	HP00196695	0012082	13	UNKNOWN	          0	          0	         10	B7C24LAA-001        	ALARM BCN-LED 120V 	01/04/27	    132.79	   1327.90 	     76.08   	     18.40   	     94.48   
01/14/26	001165	AERO FLUID PRODUCTS      	P138515   	0012054	07	UNKNOWN	          0	          0	        200	15K35-1             	FILTER AND RECTIFIER ASSEMBLY 	01/14/27	     61.85	  12370.00 	      1.10   	     15.20   	     16.30   
05/11/26	001165	AERO FLUID PRODUCTS      	P139703   	0012080	01	UNKNOWN	          0	          0	        100	5372-35-2           	CONNECTOR HARNESS ASSY 	01/15/27	    108.39	  10838.75 	      1.80   	     22.32   	     24.12   
03/05/26	001148	HUGHEY & PHILLIPS        	HP00195650	0012064	15	UNKNOWN	          0	          0	         10	277-3939            	PCB ASSEMBLY 	02/01/27	     31.00	    310.00 	      5.27   	      2.83   	      8.10   
04/13/26	001148	HUGHEY & PHILLIPS        	HP00196437	0012075	11	UNKNOWN	          0	          0	          5	B7C11PAA            	MASTER CARD 	02/08/27	    131.57	    657.85 	     35.16   	     26.66   	     61.82   
03/05/26	001148	HUGHEY & PHILLIPS        	HP00195650	0012064	17	UNKNOWN	          0	          0	         10	277-3939            	PCB ASSEMBLY 	03/01/27	     31.00	    310.00 	      5.27   	      2.83   	      8.10   
03/05/26	001148	HUGHEY & PHILLIPS        	HP00195650	0012064	19	UNKNOWN	          0	          0	         10	277-3939            	PCB ASSEMBLY 	04/01/27	     31.00	    310.00 	      5.27   	      2.83   	      8.10   
02/25/26	001165	AERO FLUID PRODUCTS      	P139065   	0012065	03	UNKNOWN	          0	          0	         75	5411-125-1          	WIRING HARNESS ASSY MOTOR 	05/19/27	     22.58	   1693.50 	      0.00   	     40.00   	     40.00   
05/11/26	001165	AERO FLUID PRODUCTS      	P139703   	0012080	01	UNKNOWN	          0	          0	         50	5372-35-2           	CONNECTOR HARNESS ASSY 	07/15/27	    108.39	   5419.38 	      1.80   	     22.32   	     24.12   
