"CanonicalTable","Field","FirmId","CodeDomain","CodeType","CodeValue","OccurrenceCount","CurrentDescription","Classification"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS / A&C","5",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS / BLUE","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS / DEL.","4",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS / FED EX","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS / RPM DRIVR","4",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS / WILL CALL","3",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS 294897 OR F","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS 2DAY","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS 2DN DAY","2",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS 2ND DAY","21",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS 2ND DAY GRD","8",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS 2ND DAY SAV","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS 2ND GROUND","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS 3 DAY","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS 3DAY","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS 3RD","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS 924897","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS B","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS BLUE","199",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS BLUE AT GRD","5",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS BLUE GRND","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS BLUE GROUND","4",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS BLUE PPA","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS BLUE RATE","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS BLUR GRND R","2",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS COLLCT","2",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS COLLECT","6",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS EXPRESS","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS GRD & RED","5",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS GRND","28",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS GRND PPA","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS GROUND","272",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS GROUND PREP","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS INTL","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS NEXT DAY","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS OR  FED-EX","2",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS OR DELIVERY","2",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS OR DROP OFF","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS OR FED-EX","3",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS OR W/C","5",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS OR WILL CAL","6",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS ORANGE","44",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS ORANGEW","2",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS ORG","3",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS ORNG","2",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS OVERNIGHT","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","ups ppa","11",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS PPAA","1",,"TransactionDerived"
"PurchaseReceipt","ShippingMethod","01","Purchasing","ShippingMethod","UPS PRE PAID","3",,"TransactionDerived"
